movie,valence,energy,darkness,tension,warmth,humor
"""The Pursuit of Happyness""",-0.5779719819935659,-0.03484441936016083,-0.08433709144592286,0.13608676046133042,0.08706581294536592,-0.06517142057418823
"""Kung Fu Panda 3""",0.4494982689619065,0.4089458718895912,0.07563620805740356,0.1436542823910713,0.055412629246711725,0.24500114172697068
"""Star Wars: The Force Awakens""",0.31091473065316677,0.42780990749597547,-0.003201224654912946,0.20517258942127226,-0.17437036633491515,0.10338839143514633
"""Donnie Darko""",-0.5229312889277935,-0.041627541184425354,-0.057739973068237305,0.40821172893047336,-0.2151717096567154,-0.0075843739509582515
"""Justice League""",0.12370775733143091,0.4083210252225399,-0.08694594949483872,0.1368615061044693,0.07302972376346589,0.05934860184788704
"""Up""",0.35220881352821987,0.23009392023086547,-0.020619481801986694,0.11694428324699402,-0.01454866528511048,0.18605382442474366
"""2012""",-0.7090413577056357,0.3052035927772522,0.14644300937652588,0.19121002554893496,-0.05274088680744171,-0.05778983235359192
"""Pan's Labyrinth""",-0.24433674762646357,0.0010048568248748752,0.1019917219877243,0.21612807214260102,-0.2003897339105606,0.003462865948677063
"""Brokeback Mountain""",0.5759300964418799,-0.10675126910209656,-0.07337216287851334,0.20747949331998827,0.20545841753482819,-0.05156022310256958
"""The Departed""",-0.3299966473132372,0.20489657521247864,0.2477089136838913,0.5637679606676103,-0.24835467636585234,-0.07041634619235992
"""Prisoners""",-0.7178237672895192,0.11950354874134064,0.20769684463739396,0.6050650000572204,-0.15530275106430053,-0.07985354959964752
"""Coraline""",-0.015520245706041644,0.07359787374734879,0.061244881153106695,0.24166727215051653,0.01551706194877625,-0.04379500448703766
"""Hellboy""",-0.2815649418160319,0.2126919448375702,-0.06828372776508332,0.11103353947401047,0.11011520475149156,-0.020749405026435852
"""The Illusionist""",-0.14355090893805028,0.15442967414855957,-0.015771816670894626,0.5304767534136773,0.5680021077394486,0.0020854026079177856
"""Citizen Kane""",0.09162279777228832,0.03837802410125732,0.04882518947124481,0.4619516164064408,-0.14026473462581635,-0.03377551585435867
"""Inside Out""",0.21031699255108843,0.18465910553932194,-0.10471216440200806,0.15754316449165345,0.2313588261604309,0.13416057616472246
"""Cinderella""",0.5223520085215568,-0.05736409723758698,-0.06822672486305237,0.16842460036277773,0.17046560645103453,-0.032524898648262024
"""Dallas Buyers Club""",-0.3791151272598654,-0.10364555418491364,0.015807054936885834,0.15279014259576798,-0.1532112956047058,-0.04997330158948898
"""Her""",0.21324446238577363,-0.10609567761421204,-0.045495230704545975,0.17446144819259646,0.31077681481838226,0.05663914978504181
"""Lost in Translation""",0.13706792310944627,-0.12849620580673218,-0.1411001890897751,0.11903106570243836,0.13825813829898834,0.21271075010299684
"""Collateral""",-0.166286554832298,0.15845777690410615,0.1717517912387848,0.3548266544938088,-0.13438332080841064,-0.048465803265571594
"""The Dark Knight""",-0.18298388868570328,0.3109067633748055,0.020859223604202268,0.4536522537469864,0.2560560792684555,0.1384568065404892
"""The Equalizer""",-0.6830880528315901,0.3958005249500275,0.1903571426868439,0.3429597020149231,-0.22345896065235138,-0.031136974692344666
"""28 Weeks Later""",-0.7741191620539342,0.1550421178340912,0.4426575630903244,0.3044912666082382,-0.2550171971321106,-0.09852778911590576
"""Live Free or Die Hard""",-0.548007880958418,0.3741849765181542,0.12848472148180007,0.3932477980852127,-0.13505224883556366,-0.011549599468708038
"""Die Hard: With a Vengeance""",-0.48901745663689716,0.33157627582550053,0.05245187431573868,0.36414846777915955,-0.1409049928188324,-0.021844953298568726
"""Die Hard 2""",-0.7148470724001527,0.5273508504033089,0.0863117977976799,0.4404337614774704,-0.13703268766403198,-0.048538512587547294
"""Interstellar""",0.10480408016592264,0.11416967250406743,0.06298305094242096,0.2619697153568268,-0.09015530347824097,-0.008415257558226585
